English;Latin;Français;Español;Portugues
Plantar surfaces of digits of foot;Facies plantares digitorum;Surfaces plantaires des doigts de pied;Superficies plantares de los dedos del pie;Superfícies plantares dos dedos do pé
Dorsal surfaces of digits of foot;Facies dorsales digitorum;Régions dorsales des doigts de pied;Regiones dorsales de los dedos del pie;Superfícies dorsais dos dedos do pé
Interdigital spaces of foot;Spatia interdigitalia pedis;Espaces interdigitaux du pied;Espacios interdigitales del pie;Espaços interdigitais do pé
Musculoskeletal systems;Systemata musculoskeletalia;Systèmes musculosquelettiques;Sistemas musculoesqueléticos;Sistemas musculoesqueléticos
Skeletal system;Systema skeletale;Système squelettique;Sistema esquelético;Sistema esqueletico
Axial skeleton;Skeleton axiale;Squelette axial;Esqueleto axial;Esqueleto axial
Neurocranium;Neurocranium;Neurocrâne;Neurocráneo;Neurocrânio
Viscerocranium;Viscerocranium;Viscérocrâne;Viscerocráneo;Viscerocrânio
Facial bones;Ossa faciei;Os de la face;Huesos de la cara;Ossos faciais
Chondrocranium;Chondrocranium;Chondrocrâne;Condrocráneo;Condrocrânio
Desmocranium;Desmocranium;Desmocrâne;Desmocráneo;Desmocrânio
Appendicular skeleton;Skeleton appendiculare;Squelette appendiculaire;Esqueleto apendicular;Esqueleto apendicular
Skeleton of upper limbs;Skeleton membrorum superiorum;Squelette des membres supérieurs;Esqueleto de los miembros superiores;Esqueleto dos membros superiores
Pectoral girdle;Cingulum pectorale;Ceinture scapulaire;Cíngulo pectoral;Cintura escapular
Skeleton of free upper limb;Skeleton partis liberae membri superioris;Squelette de la partie libre du membre supérieur;Esqueleto de la parte libre del miembro superior;Esqueleto do membro superior livre
Skeleton of lower limbs;Skeleton membrorum inferiorum;Squelette des membres inférieurs;Esqueleto de los miembros inferiores;Esqueleto de membros inferiores
Pelvic girdle;Cingulum pelvicum;Ceinture pelvienne;Cíngulo pélvico;Cintura pélvica
Skeleton of free lower limb;Skeleton partis liberae membri inferioris;Squelette de la partie libre du membre inférieur;Esqueleto de la parte libre del miembro inferior;Esqueleto de membro inferior livre
Bones;Ossa;Os(plusieurs);Huesos;Ossos
Membranous bone;Os membranaceum;Os membraneux;Hueso membranoso;Osso membranoso
Endochondral bone;Os endochondrale;Os endochondral;Hueso endocondral;Osso endocondral
Long bone;Os longum;Os long;Hueso largo;Osso longo
Short bone;Os breve;Os court;Hueso corto;Osso curto
Flat bone;Os planum;Os plat;Hueso plano;Osso plano
Irregular bone;Os irregulare;Os irrégulier;Hueso irregular;Osso irregular
Pneumatised bone;Os pneumaticum;Os pneumatisé;Hueso neumático;Osso pneumatizado
Sesamoid bone;Os sesamoideum;Os sésamoïde;Hueso sesamoideo;Osso sesamóide
(Accessory bone);(Os accessorium);(Os accessoire);(Hueso accesorio);(Osso acessório)
(Supernumerary bone);(Os supernumerarium);(Os supranuméraire);(Hueso supernumerario);(Osso supranumerário)
Bone;Os;Os;Hueso;Osso
Bony part of bone;Pars ossea ossis;Partie osseuse de l'os;Parte ósea del hueso;Parte óssea do osso
Compact bone;Substantia compacta;Os compact;Hueso compacto;a
Spongy bone;Substantia spongiosa;Os spongieux;Hueso esponjoso;Osso esponjoso
Cartilaginous part of bone;Pars cartilaginea ossis;Partie cartilagineuse de l'os;Parte cartilaginosa del hueso;Parte cartilaginosa do osso
Articular cartilage;Cartilago articularis;Cartilage articulaire;Cartílago articular;Cartilagem articular
Membranous part of bone;Pars membranacea ossis;Partie membraneuse de l'os;Parte membranosa del hueso;Parte membranosa do osso
Periosteum;Periosteum;Périoste;Periostio;Periósteo
Perichondrium;Perichondrium;Périchondre;Pericondrio;Pericôndrio
Medullary cavity;Cavitas medullaris ossis;Canal médullaire;Cavidad medular ósea;Cavidade medular
Endosteum;Endosteum;Endosteum;Endostio;Endosteum
Bone marrow;Medulla ossis;Moëlle osseuse;Médula ósea;Medula óssea
Yellow bone marrow;Medulla flava ossis;Moëlle osseuse jaune;Médula ósea amarilla;Medula óssea amarela
Red bone marrow;Medullae rubrae ossium;Moëlle osseuse rouge;Médula ósea roja;Medula óssea vermelha
Diaphysis;Diaphysis;Diaphyse;Diáfisis;Diáfise
Metaphysis;Metaphysis;Métaphyse;Metáfisis;Metafise
Epiphysis;Epiphysis;Epiphyse;Epífisis;Epífise
Epiphysial cartilage;Cartilago epiphysialis;Cartilage épiphysaire;Cartílago epifisario;Cartilagem epifisária
Epiphysial plate;Lamina epiphysialis;Lame épiphysaire;Lámina epifisaria;Placa epifisária
Epiphysial line;Linea epiphysialis;Ligne épiphysaire;Línea epifisaria;Linha epifisária
Apophysis;Apophysis;Apophyse;Apófisis;Apófise
Articular surface;Facies articularis;Surface articulaire;Cara articular;Superfície articular
Articular fossa;Fossa articularis;Fosse articulaire;Fosa articular;Fossa articular
(Articular head);(Caput articulare);(Tête articulaire);(Cabeza articular);(Cabeça articular)
Nutrient foramen;Foramen nutricium;Foramen nourricier;Foramen nutricio;Forame nutrício
Nutrient canal;Canalis nutricius;Canal nourricier;Canal nutricio;Canal nutrício
Ossification centres;Centra ossificationis;Centres d'ossification;Centros de osificación;Centros de ossificação
Primary ossification centre;Centrum primarium ossificationis;Centres d'ossification primaires;Centros de osificación primarios;Centro de ossificação primário
Secondary ossification centre;Centrum secundarium ossificationis;Centres d'ossifications secondaires;Centros de osificación secundarios;Centro de ossificação secundário
Cranium;Cranium;Crâne;Cráneo;Crânio
Frontal aspect of cranium;Norma frontalis cranii;Vue frontale du crâne;Aspecto frontal del cráneo;Aspecto frontal do crânio
Superior aspect of cranium;Norma superior cranii;Vue supérieure du crâne;Aspecto superior del cráneo;Aspecto superior do crânio
Occipital aspect of cranium;Norma occipitalis cranii;Vue occipitale du crâne;Aspecto occipital del cráneo;Aspecto occipital do crânio
Lateral aspect of cranium;Norma lateralis cranii;Vue latérale du crâne;Aspecto lateral del cráneo;Aspecto lateral do crânio
Inferior aspect of cranium;Norma inferior cranii;Vue inférieure du crâne;Aspecto inferior del cráneo;Aspecto inferior do crânio
Pericranium;Pericranium;Péricrâne;Pericráneo;Pericrânio
Forehead of cranium;Frons cranii;Front du crâne;Frente del cráneo;Fronte do crânio
Occiput of cranium;Occiput cranii;Occiput du crâne;Occipucio del cráneo;Occiput do crânio
Vertex of cranium;Vertex cranii;Vertex du crâne;Vértice del cráneo;Vértice do crânio
Nasion;Nasion;Nasion;Nasion;Násio
Bregma;Bregma;Bregma;Bregma;Bregma
Lambda;Locus lambda;Lambda;Lambda;Lambda
Inion;Inion;Inion;Inion;Ínion
Pterion;Pterion;Ptérion;Pterion;Pterion
Asterion;Asterion;Asterion;Asterion;Asterion
Porion;Porion;Porion;Porion;Porion
Basion;Basion;Basion;Basion;Basion
Opisthion;Opisthion;Opisthion;Opistión;Opístio
Temporal fossa;Fossa temporalis;Fosse temporale;Fosa temporal;Fossa temporal
Zygomatic arch;Arcus zygomaticus;Arcade zygomatique;Arco cigomático;Arco zigomático
Infratemporal fossa;Fossa infratemporalis;Fosse infratemporale;Fosa infratemporal;Fossa infratemporal
Pterygopalatine fossa;Fossa pterygopalatina;Fosse ptérygopalatine;Fosa pterigopalatina;Fossa pterigopalatina
Pterygomaxillary fissure;Fissura pterygomaxillaris;Fissure ptérygomaxillaire;Fisura pterigomaxilar;Fissura pterigomaxilar
Fontanelles;Fonticuli cranii;Fontanelles;Fontanelas;Fontanelas
Anterior fontanelle;Fonticulus anterior;Fontanelle antérieure;Fontanela anterior;Fontanela anterior
Posterior fontanelle;Fonticulus posterior;Fontanelle postérieure;Fontanela posterior;Fontanela posterior
Sphenoidal fontanelle;Fonticulus sphenoideus;Fontanelle sphénoïdale;Fontanela esfenoidal;Fontanela esfenoidal
Mastoid fontanelle;Fonticulus mastoideus;Fontanelle mastoïdienne;Fontanela mastoidea;Fontanela mastóide
Calvaria;Calvaria;Calvaria;Calvaria;Calvária
External table of calvaria;Lamina externa calvariae;Table externe de la calvaria;Lámina externa de la calvaria;Lâmina externa de calvária
Diploe;Diploe;Diploe;Diploe;Díploe
Diploic canals;Canales diploici;Canaux diploïques;Canales diploicos;Canais diplóicos
Internal table of calvaria;Lamina interna calvariae;Table interne de la calvaria;Lámina interna de la calvaria;Lâmina interna da calvária
Groove for superior sagittal sinus;Sulcus sinus sagittalis superioris;Sillon du sinus longitudinal supérieur;Surco sel seno sagital superior;Sulco para seio sagital superior
Granular foveolae;Foveolae granulares;Granulations fovéolaires;Foveólas granulares;Fovéola granular
Impressions of cerebral gyri;Impressiones gyrorum;Empreintes des gyri cérébraux;Impressiones de los giros cerebrales;Impressões de giros cerebrais
Eminences of cerebral sulci;Juga cerebralia;Eminences des sillons cérébraux;Eminencias de los surcos cerebrales;Eminências de sulcos cerebrais
Venous grooves;Sulci venosi;Sillons veineux;Surcos venosos;Sulcos venosos
Arterial grooves;Sulci arteriosi;Sillons artériels;Surcos arteriales;Sulcos arteriais
Cranial base;Basis cranii;Base du crâne;Base del cráneo;Base craniana
Internal surface of cranial base;Basis interna cranii;Face interne de la base du crâne;Cara interna de la base del cráneo;Superfície interna da base do crânio
Sphenopetrosal fissure;Fissura sphenopetrosa;Fissure sphénopétreuse;Fisura esfenopetrosa;Fissura esfenopetrosa
Petro-occipital fissure;Fissura petrooccipitalis;Fissure pétro-occipitale;Fisura petro-occipital;Fissura petro-occipital
Anterior cranial fossa;Fossa anterior cranii;Fosse crânienne antérieure;Fosa craneal anterior;Fossa craniana anterior
Middle cranial fossa;Fossa media cranii;Fosse crânienne moyenne;Fosa craneal media;Fossa cranianam média
Posterior cranial fossa;Fossa posterior cranii;Fosse crânienne postérieure;Fosa craneal posterior;Fossa craniana posterior
Clivus;Clivus;Clivus;Clivus;Clivus
Groove for inferior pertrosal sinus;Sulcus sinus petrosi inferioris;Sillon du sinus pétreux inférieur;Surco del seno petroso inferior;Sulco para o seio pertroso inferior
Groove for sigmoid sinus;Sulcus sinus sigmoidei;Sillon du sinus sigmoïde;Surco del seno sigmoideo;Sulco para o seio sigmóide
External surface of cranial base;Basis externa cranii;Face externe de la base du crâne;Cara externa de la base del cráneo;Superfície externa da base do crânio
Jugular foramen;Foramen jugulare;Foramen jugulaire;Foramen yugular;Forame jugular
Foramen lacerum;Foramen lacerum;Foramen déchiré;Foramen lacerado;Forame lácero
(Sphenotemporal foramen);(Foramen sphenotemporale);(Foramen sphénotemporal);(Foramen esfenotemporal);(Forame esfenotemporal)
Bony palate;Palatum osseum;Palais osseux;Paladar óseo;Palato ósseo
Greater palatine canal;Canalis palatinus major;Canal grand palatin;Canal palatino mayor;Canal palatino maior
Greater palatine foramen;Foramen palatinum majus;Foramen grand palatin;Foramen palatino mayor;Forame palatino maior
Incisive fossa;Fossa incisiva;Fosse incisive;Fosa incisiva;Fossa incisiva
(Palatine torus);(Torus palatinus);(Torus palatin);(Torus palatino);(Toro palatino)
Palatovaginal canal;Canalis palatovaginalis;Canal palatovaginal;Canal palatovaginal;Canal palatovaginal
Vomerovaginal canal;Canalis vomerovaginalis;Canal vomérovaginal;Canal vomerovaginal;Canal vomerovaginal
Vomerorostral canal;Canalis vomerorostralis;Canal vomérorostral;Canal vomerorostral;Canal vomerorostral
Orbit;Orbita;Orbite;Órbita;Órbita
Periorbita;Periorbita;Péri-orbite;Periorbita;Periorbita
Orbital septum;Septum orbitale;Septum orbitaire;Septo orbitario;Septo orbital
Orbital cavity;Cavitas orbitae;Cavité orbitaire;Cavidad orbitaria;Cavidade orbital
Orbital opening;Aditus orbitae;Ouverture de l'orbite;Apertura de la órbita;Abertura orbital
Orbital margin;Margo orbitalis;Bord de l'orbite;Margen de la órbita;Margem orbital
Supra-orbital margin;Margo supraorbitalis;Bord supra-orbitaire;Margen supraorbitario;Margem supra-orbital
Infra-orbital margin;Margo infraorbitalis;Bord infra-orbitaire;Margen infraorbitario;Margem infra-orbital
Lateral margin of orbit;Margo lateralis orbitae;Bord latéral de l'orbite;Margen lateral de la órbita;Margem lateral da órbita
Medial margin of orbit;Margo medialis orbitae;Bord médial de l'orbite;Margen medial de la órbita;Margem medial da órbita
Roof of orbit;Paries superior orbitae;Toit de l'orbite;Pared superior de la órbita;Teto da órbita
Floor of orbit;Paries inferior orbitae;Plancher de l'orbite;Pared inferior de la órbita;Assoalho da órbita
Lateral wall of orbit;Paries lateralis orbitae;Paroi latérale de l'orbite;Pared lateral de la órbita;Parede lateral da órbita
(Cranio-orbital foramen);(Foramen cranioorbitale);(Foramen cranio-orbitaire);(Foramen cráneo-orbitario);(Forame cranio-orbital)
Medial wall of orbit;Paries medialis orbitae;Paroi médiale de l'orbite;Pared medial de la órbita;Parede medial da órbita
Anterior ethmoidal foramen;Foramen ethmoideum anterius;Foramen ethmoïdal antérieur;Foramen etmoidal anterior;Forame etmoidal anterior
Posterior ethmoidal foramen;Foramen ethmoideum posterius;Foramen ethmoïdal postérieur;Foramen etmoidal posterior;Forame etmoidal posterior
Fossa for lacrimal sac;Fossa sacci lacrimalis;Fosse du sac lacrimal;Fosa del saco lagrimal;Fossa do saco lacrimal
Apex of orbit;Apex orbitae;Apex de l'orbite;Ápice de la órbita;Ápice da órbita
Superior orbital fissure;Fissura orbitalis superior;Fissure orbitaire supérieure;Fisura orbitaria superior;Fissura orbital superior
Inferior orbital fissure;Fissura orbitalis inferior;Fissure orbitaire inférieure;Fisura orbitaria inferior;Fissura orbital inferior
Nasolacrimal canal;Canalis nasolacrimalis;Canal nasolacrimal;Canal nasolagrimal;Canal nasolacrimal
Bony part of nasal septum;Pars ossea septi nasi;Partie osseuse du septum nasal;Porción ósea del tabique nasal;Parte óssea do septo nasal
Nasal cavity of cranium;Cavitas nasalis cranii;Cavité nasale du crâne;Cavidad nasal del cráneo;Cavidade nasal do crânio
Piriform aperture;Apertura piriformis;Orifice piriforme;Abertura piriforme;Abertura piriforme
Superior nasal meatus of cranium;Meatus nasalis superior cranii;Méat nasal supérieur du crâne;Meato nasal superior del cráneo;Meato nasal superior do crânio
Middle nasal meatus of cranium;Meatus nasalis medius cranii;Méat nasal moyen du crâne;Meato nasal medio del cráneo;Meato nasal médio do crânio
Inferior nasal meatus of cranium;Meatus nasalis inferior cranii;Méat nasal inférieur du crâne;Meato nasal inferior del cráneo;Meato nasal inferior do crânio
Opening of nasolacrimal canal;Ostium canalis nasolacrimalis;Ouverture du canal nasolacrimal;Apertura del canal nasolagrimal;Abertura do canal nasolacrimal
Common nasal meatus of cranium;Meatus nasalis communis cranii;Méat nasal commun du crâne;Meato nasal común del cráneo;Meato nasal comum do crânio
Spheno-ethmoidal recess of cranium;Recessus sphenoethmoideus cranii;Récessus sphéno-ethmoïdal du crâne;Receso esfenoetmoidal del cráneo;Recesso esfenoetmoidal do crânio
Nasopharyngeal meatus of cranium;Meatus nasopharyngeus cranii;Méat nasopharyngien du crâne;Meato nasofaríngeo del cráneo;Meato nasofaríngeo do crânio
Choana of cranium;Choana cranii;Choane du crâne;Coana del cráneo;Coana do crânio
